status,accident_index,accident_year,accident_ref_no,vehicle_reference,vehicle_type,vehicle_text
Unvalidated,2021010304487,2021,010304487,2,90,Scooter - Electric Scooter
Unvalidated,2021010304502,2021,010304502,2,90,Scooter - Electric Scooter
Unvalidated,2021010304556,2021,010304556,2,90,Scooter - Electric Scooter
Unvalidated,2021010304853,2021,010304853,2,90,Scooter - Electric Scooter
Unvalidated,2021010304947,2021,010304947,1,90,Scooter - Electric Scooter
Unvalidated,2021010304967,2021,010304967,2,90,Scooter - Electric Scooter
Unvalidated,2021010305003,2021,010305003,1,90,Scooter - Electric Scooter
Unvalidated,2021010305088,2021,010305088,1,90,Scooter - Electric Scooter
Unvalidated,2021010305335,2021,010305335,1,90,Scooter - Electric Scooter
Unvalidated,2021010305386,2021,010305386,1,90,Scooter - Electric Scooter
Unvalidated,2021010305391,2021,010305391,1,90,Scooter - Electric Scooter
Unvalidated,2021010305396,2021,010305396,1,90,Scooter - Electric Scooter
Unvalidated,2021010305402,2021,010305402,2,90,Scooter - Electric Scooter
Unvalidated,2021010305403,2021,010305403,1,90,Scooter - Electric Scooter
Unvalidated,2021010305447,2021,010305447,2,90,Scooter - Electric Scooter
Unvalidated,2021010305488,2021,010305488,2,90,Scooter - Electric Scooter
Unvalidated,2021010305655,2021,010305655,2,90,Scooter - Electric Scooter
Unvalidated,2021010305659,2021,010305659,1,90,Scooter - Electric Scooter
Unvalidated,2021010305757,2021,010305757,2,90,Scooter - Electric Scooter
Unvalidated,2021010305856,2021,010305856,2,90,Scooter - Electric Scooter
Unvalidated,2021010305979,2021,010305979,1,90,Scooter - Electric Scooter
Unvalidated,2021010306208,2021,010306208,2,90,Scooter - Electric Scooter
Unvalidated,2021010306380,2021,010306380,1,90,Scooter - Electric Scooter
Unvalidated,2021010306684,2021,010306684,2,90,Scooter - Electric Scooter
Unvalidated,2021010306707,2021,010306707,2,90,Scooter - Electric Scooter
Unvalidated,2021010306742,2021,010306742,2,90,Scooter - Electric Scooter
Unvalidated,2021010306760,2021,010306760,2,90,Scooter - Electric Scooter
Unvalidated,2021010306850,2021,010306850,1,90,Scooter - Electric Scooter
Unvalidated,2021010306946,2021,010306946,2,90,Scooter - Electric Scooter
Unvalidated,2021010306964,2021,010306964,2,90,Scooter - Electric Scooter
Unvalidated,2021010307033,2021,010307033,2,90,Scooter - Electric Scooter
Unvalidated,2021010307144,2021,010307144,2,90,Scooter - Electric Scooter
Unvalidated,2021010307218,2021,010307218,2,90,Scooter - Electric Scooter
Unvalidated,2021010307293,2021,010307293,2,90,Scooter - Electric Scooter
Unvalidated,2021010307454,2021,010307454,2,90,Scooter - Electric Scooter
Unvalidated,2021010307591,2021,010307591,1,90,Scooter - Electric Scooter
Unvalidated,2021010307685,2021,010307685,2,90,Scooter - Electric Scooter
Unvalidated,2021010307809,2021,010307809,1,90,Scooter - Electric Scooter
Unvalidated,2021010308051,2021,010308051,1,90,Scooter - Electric Scooter
Unvalidated,2021010308085,2021,010308085,2,90,Scooter - Electric Scooter
Unvalidated,2021010308211,2021,010308211,2,90,Scooter - Electric Scooter
Unvalidated,2021010308238,2021,010308238,1,90,Scooter - Electric Scooter
Unvalidated,2021010308276,2021,010308276,2,90,Scooter - Electric Scooter
Unvalidated,2021010308490,2021,010308490,2,90,Scooter - Electric Scooter
Unvalidated,2021010308737,2021,010308737,2,90,Scooter - Electric Scooter
Unvalidated,2021010308743,2021,010308743,2,90,Scooter - Electric Scooter
Unvalidated,2021010308880,2021,010308880,2,90,Scooter - Electric Scooter
Unvalidated,2021010308909,2021,010308909,1,90,Scooter - Electric Scooter
Unvalidated,2021010308990,2021,010308990,2,90,Scooter - Electric Scooter
