status,accident_index,accident_year,accident_reference,vehicle_reference,casualty_reference,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,casualty_severity,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_home_area_type,casualty_imd_decile
Unvalidated,2021010287615,2021,010287615,1,1,1,2,43,7,3,0,0,0,0,0,9,1,2
Unvalidated,2021010287616,2021,010287616,2,1,1,1,22,5,3,0,0,0,0,0,3,1,1
Unvalidated,2021010287625,2021,010287625,1,1,1,1,23,5,3,0,0,0,0,0,9,1,4
Unvalidated,2021010287629,2021,010287629,2,1,1,1,40,7,2,0,0,0,0,0,1,1,4
Unvalidated,2021010287631,2021,010287631,1,1,1,1,23,5,3,0,0,0,0,0,3,1,3
Unvalidated,2021010287633,2021,010287633,1,1,3,1,63,9,3,1,1,0,0,0,0,1,8
Unvalidated,2021010287634,2021,010287634,2,1,1,1,27,6,3,0,0,0,0,0,90,1,3
Unvalidated,2021010287639,2021,010287639,1,1,1,1,31,6,3,0,0,0,0,0,1,1,2
Unvalidated,2021010287640,2021,010287640,1,1,1,1,23,5,3,0,0,0,0,0,3,1,4
Unvalidated,2021010287641,2021,010287641,1,1,3,1,60,9,3,4,1,0,0,0,0,1,3
Unvalidated,2021010287642,2021,010287642,1,1,1,2,34,6,3,0,0,0,0,0,9,1,3
Unvalidated,2021010287645,2021,010287645,2,1,1,1,20,4,3,0,0,0,0,0,5,1,3
Unvalidated,2021010287648,2021,010287648,2,1,1,1,31,6,3,0,0,0,0,0,9,-1,-1
Unvalidated,2021010287652,2021,010287652,1,1,3,2,18,4,3,5,3,0,0,0,0,1,4
Unvalidated,2021010287659,2021,010287659,1,1,2,1,19,4,2,0,0,1,0,0,9,1,8
Unvalidated,2021010287661,2021,010287661,1,1,3,1,50,8,3,8,1,0,0,0,0,-1,-1
Unvalidated,2021010287671,2021,010287671,2,1,1,1,40,7,3,0,0,0,0,0,3,-1,-1
Unvalidated,2021010287678,2021,010287678,1,1,1,1,42,7,3,0,0,0,0,0,9,1,7
Unvalidated,2021010287682,2021,010287682,1,1,1,1,29,6,3,0,0,0,0,0,3,1,2
Unvalidated,2021010287684,2021,010287684,1,1,3,1,17,4,2,5,2,0,0,0,0,1,3
Unvalidated,2021010287691,2021,010287691,1,1,1,1,54,8,3,0,0,0,0,0,9,1,8
Unvalidated,2021010287691,2021,010287691,2,2,1,2,73,10,3,0,0,0,0,0,9,1,10
Unvalidated,2021010287692,2021,010287692,2,1,1,1,35,6,3,0,0,0,0,0,1,1,8
Unvalidated,2021010287696,2021,010287696,1,1,1,1,42,7,3,0,0,0,0,0,9,1,2
Unvalidated,2021010287698,2021,010287698,1,1,3,2,62,9,3,10,9,0,0,0,0,1,8
Unvalidated,2021010287700,2021,010287700,2,1,1,2,59,9,3,0,0,0,0,0,9,1,5
Unvalidated,2021010287701,2021,010287701,1,1,1,2,36,7,3,0,0,0,0,0,9,1,8
Unvalidated,2021010287702,2021,010287702,1,1,1,1,69,10,3,0,0,0,0,0,9,1,3
Unvalidated,2021010287704,2021,010287704,1,1,1,1,31,6,3,0,0,0,0,0,1,1,3
Unvalidated,2021010287713,2021,010287713,1,1,1,1,49,8,3,0,0,0,0,0,3,1,6
Unvalidated,2021010287713,2021,010287713,1,2,3,1,38,7,3,5,3,0,0,0,0,1,4
Unvalidated,2021010287714,2021,010287714,2,1,1,1,26,6,3,0,0,0,0,0,3,-1,-1
Unvalidated,2021010287717,2021,010287717,1,1,1,1,37,7,2,0,0,0,0,0,1,1,5
Unvalidated,2021010287725,2021,010287725,1,1,1,2,25,5,3,0,0,0,0,0,9,1,2
Unvalidated,2021010287726,2021,010287726,1,1,1,1,28,6,3,0,0,0,0,0,3,1,4
Unvalidated,2021010287737,2021,010287737,1,1,3,1,50,8,3,6,9,0,0,0,0,1,4
Unvalidated,2021010287738,2021,010287738,2,1,1,1,53,8,3,0,0,0,0,0,1,1,8
Unvalidated,2021010287740,2021,010287740,1,1,1,1,32,6,3,0,0,0,0,0,5,1,4
Unvalidated,2021010287741,2021,010287741,1,1,1,1,42,7,3,0,0,0,0,0,3,1,4
Unvalidated,2021010287743,2021,010287743,1,1,1,1,74,10,3,0,0,0,0,0,9,1,7
Unvalidated,2021010287745,2021,010287745,1,1,1,2,25,5,3,0,0,0,0,0,9,1,2
Unvalidated,2021010287753,2021,010287753,1,1,1,1,39,7,3,0,0,0,0,0,3,1,8
Unvalidated,2021010287755,2021,010287755,2,1,1,2,25,5,3,0,0,0,0,0,9,1,9
Unvalidated,2021010287756,2021,010287756,1,1,1,1,25,5,3,0,0,0,0,0,3,1,4
Unvalidated,2021010287758,2021,010287758,1,1,1,1,18,4,3,0,0,0,0,0,3,1,5
Unvalidated,2021010287761,2021,010287761,1,1,1,1,32,6,3,0,0,0,0,0,9,1,4
Unvalidated,2021010287762,2021,010287762,1,1,2,2,19,4,3,0,0,0,4,0,11,1,2
Unvalidated,2021010287764,2021,010287764,1,1,1,1,38,7,3,0,0,0,0,0,2,1,2
Unvalidated,2021010287767,2021,010287767,1,1,1,1,22,5,3,0,0,0,0,0,1,1,2
Unvalidated,2021010287768,2021,010287768,1,1,1,1,38,7,3,0,0,0,0,0,9,1,7
Unvalidated,2021010287774,2021,010287774,1,1,3,2,41,7,3,5,1,0,0,0,0,1,3
Unvalidated,2021010287775,2021,010287775,1,1,1,-1,32,6,3,0,0,0,0,0,1,1,2
Unvalidated,2021010287777,2021,010287777,1,1,1,1,22,5,3,0,0,0,0,0,1,1,5
Unvalidated,2021010287778,2021,010287778,1,1,1,1,21,5,3,0,0,0,0,0,3,1,6
Unvalidated,2021010287778,2021,010287778,2,2,1,1,56,9,2,0,0,0,0,0,1,1,2
Unvalidated,2021010287785,2021,010287785,1,1,3,2,47,8,3,6,9,0,0,0,0,1,3
Unvalidated,2021010287791,2021,010287791,1,1,3,2,28,6,3,1,1,0,0,0,0,1,3
Unvalidated,2021010287793,2021,010287793,2,1,1,1,56,9,3,0,0,0,0,0,3,1,1
Unvalidated,2021010287796,2021,010287796,1,1,1,1,52,8,3,0,0,0,0,0,1,1,6
Unvalidated,2021010287797,2021,010287797,2,1,1,1,52,8,2,0,0,0,0,0,5,1,8
Unvalidated,2021010287799,2021,010287799,1,1,1,1,47,8,3,0,0,0,0,0,20,1,7
